,session_date,day_of_week,full_day_high,full_day_low,full_day_high_time,full_day_low_time,full_day_high_hm,full_day_low_hm,full_day_type,full_day_high_bucket,full_day_low_bucket,cycle_pair,partial_day_high,partial_day_low,partial_day_high_hm,partial_day_low_hm,partial_day_high_time,partial_day_low_time,4_1555_high_hm,4_1555_low_hm,4_1555_high_time,4_1555_low_time,partial_day_type,rdr_idr_high,rdr_idr_low,rdr_idr_midline,adr_idr_high,adr_idr_low,adr_idr_midline,odr_idr_high,odr_idr_low,odr_idr_midline,rdr_to_adr_model,rdr_to_odr_model,adr_to_odr_model,podr_to_rdr_model,Instrument
0,2008-01-02,Wednesday,99.98,97.77,2008-01-03 04:40:00,2008-01-02 10:10:00,04:40:00,10:10:00,,ODR,RDR,ODR-RDR,99.98,99.04,04:40:00,09:05:00,2008-01-03 04:40:00,2008-01-03 09:05:00,11:55:00,14:15:00,2008-01-03 11:55:00,2008-01-03 14:15:00,Outside,98.23,97.8,98.015,99.37,99.22,99.295,99.84,99.15,99.495,UXP,UXP,RX,none,CL
1,2008-01-03,Thursday,100.09,98.27,2008-01-03 11:55:00,2008-01-04 09:25:00,11:55:00,09:25:00,Upside,RDR,ODR Transition,ODR Transition-RDR,99.29,98.27,08:30:00,09:25:00,2008-01-04 08:30:00,2008-01-04 09:25:00,08:30:00,13:40:00,2008-01-04 08:30:00,2008-01-04 13:40:00,Downside,99.63,99.16,99.395,99.29,99.24,99.265,99.3,99.06,99.18,RC,DX,RX,RC,CL
2,2008-01-04,Friday,98.53,97.1,2008-01-04 09:30:00,2008-01-04 13:40:00,09:30:00,13:40:00,Downside,RDR,RDR,RDR-RDR,98.4,97.27,08:55:00,06:00:00,2008-01-07 08:55:00,2008-01-07 06:00:00,08:55:00,11:20:00,2008-01-07 08:55:00,2008-01-07 11:20:00,Downside,98.35,97.35,97.85,97.5,97.14,97.32,97.75,97.35,97.55,DX,RC,UXP,DXP,CL
3,2008-01-07,Monday,97.5,94.47,2008-01-07 09:30:00,2008-01-07 11:20:00,09:30:00,11:20:00,Downside,RDR,RDR,RDR-RDR,97.18,95.3,09:25:00,04:55:00,2008-01-08 09:25:00,2008-01-08 04:55:00,11:50:00,04:55:00,2008-01-08 11:50:00,2008-01-08 04:55:00,Upside,97.21,96.42,96.815,95.62,95.45,95.535,96.06,95.71,95.88499999999999,DXP,DXP,UXP,DXP,CL
4,2008-01-08,Tuesday,97.54,95.66,2008-01-08 11:50:00,2008-01-09 09:00:00,11:50:00,09:00:00,Upside,RDR,ODR Transition,ODR Transition-RDR,97.22,95.66,05:10:00,09:00:00,2008-01-09 05:10:00,2008-01-09 09:00:00,11:20:00,14:30:00,2008-01-09 11:20:00,2008-01-09 14:30:00,Outside,97.12,96.53,96.825,96.6,96.41,96.505,96.8,96.55,96.675,DX,RC,UXP,UXP,CL
5,2008-01-09,Wednesday,97.97,93.32,2008-01-09 11:20:00,2008-01-10 09:15:00,11:20:00,09:15:00,Outside,RDR,ODR Transition,ODR Transition-RDR,96.24,93.32,04:05:00,09:15:00,2008-01-10 04:05:00,2008-01-10 09:15:00,04:05:00,11:10:00,2008-01-10 04:05:00,2008-01-10 11:10:00,Downside,96.07,95.64,95.85499999999999,95.82,95.63,95.725,96.05,95.46,95.755,DX,D,RX,DXP,CL
6,2008-01-10,Thursday,94.81,92.78,2008-01-10 12:30:00,2008-01-11 06:55:00,12:30:00,06:55:00,Downside,RDR,ODR,ODR-RDR,94.47,92.78,04:25:00,06:55:00,2008-01-11 04:25:00,2008-01-11 06:55:00,04:25:00,13:55:00,2008-01-11 04:25:00,2008-01-11 13:55:00,Downside,94.17,93.64,93.905,94.27,94.18,94.225,94.49,94.19,94.34,UXP,UXP,U,DXP,CL
7,2008-01-11,Friday,94.43,92.31,2008-01-14 09:20:00,2008-01-11 13:55:00,09:20:00,13:55:00,Downside,ODR Transition,RDR,ODR Transition-RDR,94.43,92.53,09:20:00,06:00:00,2008-01-14 09:20:00,2008-01-14 06:00:00,09:20:00,06:00:00,2008-01-14 09:20:00,2008-01-14 06:00:00,Inside,93.18,92.75,92.965,92.48,92.43,92.45500000000001,93.21,93.04,93.125,DXP,UXP,UXP,DXP,CL
8,2008-01-14,Monday,94.38,92.15,2008-01-14 17:05:00,2008-01-15 09:25:00,17:05:00,09:25:00,Downside,After RDR,ODR Transition,After RDR-ODR Transition,94.36,92.15,06:10:00,09:25:00,2008-01-15 06:10:00,2008-01-15 09:25:00,06:10:00,13:20:00,2008-01-15 06:10:00,2008-01-15 13:20:00,Downside,93.87,93.22,93.545,94.32,94.2,94.25999999999999,93.99,93.6,93.79499999999999,UXP,UXP,DXP,UXP,CL
9,2008-01-15,Tuesday,92.42,90.32,2008-01-15 09:30:00,2008-01-16 07:25:00,09:30:00,07:25:00,Downside,RDR,ODR,ODR-RDR,91.64,90.32,09:20:00,07:25:00,2008-01-16 09:20:00,2008-01-16 07:25:00,09:20:00,10:55:00,2008-01-16 09:20:00,2008-01-16 10:55:00,Downside,92.12,91.47,91.795,91.88,91.7,91.78999999999999,91.27,90.9,91.08500000000001,RC,DXP,DXP,DXP,CL
