,session_date,day_of_week,full_day_high,full_day_low,full_day_high_time,full_day_low_time,full_day_high_hm,full_day_low_hm,full_day_type,full_day_high_bucket,full_day_low_bucket,cycle_pair,partial_day_high,partial_day_low,partial_day_high_hm,partial_day_low_hm,partial_day_high_time,partial_day_low_time,4_1555_high_hm,4_1555_low_hm,4_1555_high_time,4_1555_low_time,partial_day_type,rdr_idr_high,rdr_idr_low,rdr_idr_midline,adr_idr_high,adr_idr_low,adr_idr_midline,odr_idr_high,odr_idr_low,odr_idr_midline,rdr_to_adr_model,rdr_to_odr_model,adr_to_odr_model,podr_to_rdr_model,Instrument
0,2008-01-02,Wednesday,1480.5,1449.0,2008-01-02 09:45:00,2008-01-02 15:05:00,09:45:00,15:05:00,,RDR,RDR,RDR-RDR,1463.5,1455.0,08:40:00,06:05:00,2008-01-03 08:40:00,2008-01-03 06:05:00,12:30:00,15:25:00,2008-01-03 12:30:00,2008-01-03 15:25:00,Outside,1479.75,1466.5,1473.125,1461.5,1460.5,1461.0,1462.5,1459.5,1461.0,DXP,DXP,RX,none,ES
1,2008-01-03,Thursday,1464.75,1440.5,2008-01-03 12:30:00,2008-01-04 09:00:00,12:30:00,09:00:00,Downside,RDR,ODR Transition,ODR Transition-RDR,1463.25,1440.5,05:15:00,09:00:00,2008-01-04 05:15:00,2008-01-04 09:00:00,05:15:00,15:55:00,2008-01-04 05:15:00,2008-01-04 15:55:00,Downside,1463.25,1455.25,1459.25,1457.25,1455.25,1456.25,1461.75,1460.75,1461.25,RC,RC,UXP,RX,ES
2,2008-01-04,Friday,1443.75,1417.5,2008-01-04 09:30:00,2008-01-04 16:00:00,09:30:00,16:00:00,Downside,RDR,After RDR,After RDR-RDR,1432.25,1423.0,07:05:00,04:00:00,2008-01-07 07:05:00,2008-01-07 04:00:00,07:05:00,10:30:00,2008-01-07 07:05:00,2008-01-07 10:30:00,Downside,1441.0,1433.25,1437.125,1427.25,1422.5,1424.875,1428.5,1423.0,1425.75,DXP,DXP,U,DXP,ES
3,2008-01-07,Monday,1434.0,1410.0,2008-01-08 08:00:00,2008-01-07 10:30:00,08:00:00,10:30:00,Downside,ODR,RDR,ODR-RDR,1434.0,1426.25,08:00:00,04:40:00,2008-01-08 08:00:00,2008-01-08 04:40:00,10:05:00,15:55:00,2008-01-08 10:05:00,2008-01-08 15:55:00,Outside,1428.25,1413.25,1420.75,1422.0,1421.25,1421.625,1427.75,1425.25,1426.5,RC,RC,UXP,D,ES
4,2008-01-08,Tuesday,1437.75,1393.0,2008-01-08 10:05:00,2008-01-08 16:05:00,10:05:00,16:05:00,Outside,RDR,After RDR,After RDR-RDR,1405.5,1393.5,06:20:00,09:05:00,2008-01-09 06:20:00,2008-01-09 09:05:00,15:55:00,14:15:00,2008-01-09 15:55:00,2008-01-09 14:15:00,Outside,1437.0,1428.25,1432.625,1398.25,1397.75,1398.0,1405.5,1401.0,1403.25,DXP,DXP,UXP,UXP,ES
5,2008-01-09,Wednesday,1416.5,1385.0,2008-01-09 15:55:00,2008-01-09 14:15:00,15:55:00,14:15:00,Downside,RDR,RDR,RDR-RDR,1412.0,1403.0,07:50:00,08:45:00,2008-01-10 07:50:00,2008-01-10 08:45:00,15:30:00,09:40:00,2008-01-10 15:30:00,2008-01-10 09:40:00,Outside,1405.75,1395.5,1400.625,1413.25,1411.75,1412.5,1411.0,1409.5,1410.25,UXP,UXP,DXP,RX,ES
6,2008-01-10,Thursday,1436.25,1401.5,2008-01-10 15:30:00,2008-01-10 09:40:00,15:30:00,09:40:00,Upside,RDR,RDR,RDR-RDR,1416.75,1406.0,09:05:00,06:55:00,2008-01-11 09:05:00,2008-01-11 06:55:00,11:30:00,15:20:00,2008-01-11 11:30:00,2008-01-11 15:20:00,Outside,1413.25,1404.0,1408.625,1420.5,1419.75,1420.125,1415.25,1412.5,1413.875,UXP,UXP,DXP,RX,ES
7,2008-01-11,Friday,1423.5,1399.75,2008-01-11 11:30:00,2008-01-14 02:00:00,11:30:00,02:00:00,Downside,RDR,ADR Transition,ADR Transition-RDR,1419.0,1409.25,09:05:00,04:35:00,2008-01-14 09:05:00,2008-01-14 04:35:00,15:40:00,04:35:00,2008-01-14 15:40:00,2008-01-14 04:35:00,Upside,1417.75,1409.75,1413.75,1414.5,1411.5,1413.0,1412.75,1408.25,1410.5,RC,DX,DX,RX,ES
8,2008-01-14,Monday,1424.5,1402.5,2008-01-14 15:40:00,2008-01-15 08:35:00,15:40:00,08:35:00,Upside,RDR,ODR Transition,ODR Transition-RDR,1416.75,1402.5,06:30:00,08:35:00,2008-01-15 06:30:00,2008-01-15 08:35:00,06:30:00,15:55:00,2008-01-15 06:30:00,2008-01-15 15:55:00,Downside,1417.75,1412.5,1415.125,1420.0,1419.25,1419.625,1415.0,1413.75,1414.375,UXP,RC,DXP,UXP,ES
9,2008-01-15,Tuesday,1407.75,1371.75,2008-01-15 09:50:00,2008-01-16 06:50:00,09:50:00,06:50:00,Downside,RDR,ODR,ODR-RDR,1383.5,1371.75,09:15:00,06:50:00,2008-01-16 09:15:00,2008-01-16 06:50:00,14:40:00,10:50:00,2008-01-16 14:40:00,2008-01-16 10:50:00,Outside,1407.25,1397.5,1402.375,1375.0,1374.0,1374.5,1378.75,1373.75,1376.25,DXP,DXP,RX,DXP,ES
