,session_date,day_of_week,full_day_high,full_day_low,full_day_high_time,full_day_low_time,full_day_high_hm,full_day_low_hm,full_day_type,full_day_high_bucket,full_day_low_bucket,cycle_pair,partial_day_high,partial_day_low,partial_day_high_hm,partial_day_low_hm,partial_day_high_time,partial_day_low_time,4_1555_high_hm,4_1555_low_hm,4_1555_high_time,4_1555_low_time,partial_day_type,rdr_idr_high,rdr_idr_low,rdr_idr_midline,adr_idr_high,adr_idr_low,adr_idr_midline,odr_idr_high,odr_idr_low,odr_idr_midline,rdr_to_adr_model,rdr_to_odr_model,adr_to_odr_model,podr_to_rdr_model,Instrument
0,2008-01-28,Monday,939.0,924.4,2008-01-29 06:15:00,2008-01-28 09:40:00,06:15:00,09:40:00,,ODR,RDR,ODR-RDR,939.0,928.1,06:15:00,08:50:00,2008-01-29 06:15:00,2008-01-29 08:50:00,06:15:00,09:40:00,2008-01-29 06:15:00,2008-01-29 09:40:00,Downside,928.4,925.2,926.8,935.6,934.5,935.05,931.0,928.3,929.65,UXP,UXP,DXP,none,GC
1,2008-01-29,Tuesday,934.1,922.3,2008-01-29 12:00:00,2008-01-30 09:05:00,12:00:00,09:05:00,Downside,RDR,ODR Transition,ODR Transition-RDR,932.1,922.3,08:00:00,09:05:00,2008-01-30 08:00:00,2008-01-30 09:05:00,14:55:00,09:45:00,2008-01-30 14:55:00,2008-01-30 09:45:00,Outside,930.7,926.3,928.5,929.2,925.6,927.4000000000001,927.6,926.8,927.2,D,RC,RC,D,GC
2,2008-01-30,Wednesday,942.2,921.1,2008-01-30 14:55:00,2008-01-30 09:45:00,14:55:00,09:45:00,Outside,RDR,RDR,RDR-RDR,933.5,924.1,08:05:00,04:50:00,2008-01-31 08:05:00,2008-01-31 04:50:00,08:05:00,04:50:00,2008-01-31 08:05:00,2008-01-31 04:50:00,Inside,925.2,921.9,923.55,930.2,928.8,929.5,928.7,924.5,926.6,UXP,UXP,DXP,DXP,GC
3,2008-01-31,Thursday,941.8,924.1,2008-02-01 06:45:00,2008-01-31 09:30:00,06:45:00,09:30:00,Inside,ODR,RDR,ODR-RDR,941.8,929.6,06:45:00,08:55:00,2008-02-01 06:45:00,2008-02-01 08:55:00,06:45:00,14:20:00,2008-02-01 06:45:00,2008-02-01 14:20:00,Downside,928.7,924.4,926.55,932.2,931.3,931.75,932.7,931.3,932.0,UXP,UXP,U,D,GC
4,2008-02-01,Friday,934.8,898.1,2008-02-01 09:50:00,2008-02-04 09:25:00,09:50:00,09:25:00,Downside,RDR,ODR Transition,ODR Transition-RDR,912.9,898.1,04:00:00,09:25:00,2008-02-04 04:00:00,2008-02-04 09:25:00,04:00:00,09:30:00,2008-02-04 04:00:00,2008-02-04 09:30:00,Downside,934.4,917.7,926.05,917.4,914.8,916.0999999999999,914.7,912.8,913.75,DXP,DXP,DXP,RX,GC
5,2008-02-04,Monday,911.3,890.4,2008-02-04 19:45:00,2008-02-05 08:30:00,19:45:00,08:30:00,Downside,ADR,ODR Transition,ADR-ODR Transition,899.6,890.4,04:00:00,08:30:00,2008-02-05 04:00:00,2008-02-05 08:30:00,12:50:00,09:45:00,2008-02-05 12:50:00,2008-02-05 09:45:00,Outside,903.1,897.0,900.05,910.8,908.8,909.8,902.1,898.6,900.35,UXP,RC,DXP,DXP,GC
6,2008-02-05,Tuesday,906.1,888.4,2008-02-06 09:25:00,2008-02-05 09:45:00,09:25:00,09:45:00,Downside,ODR Transition,RDR,ODR Transition-RDR,906.1,892.2,09:25:00,04:00:00,2008-02-06 09:25:00,2008-02-06 04:00:00,11:55:00,04:00:00,2008-02-06 11:55:00,2008-02-06 04:00:00,Upside,894.3,890.6,892.45,892.7,892.2,892.45,893.3,890.3,891.8,RC,D,RX,DXP,GC
7,2008-02-06,Wednesday,915.2,900.1,2008-02-07 04:35:00,2008-02-07 09:00:00,04:35:00,09:00:00,Upside,ODR,ODR Transition,ODR-ODR Transition,915.2,900.1,04:35:00,09:00:00,2008-02-07 04:35:00,2008-02-07 09:00:00,04:35:00,09:00:00,2008-02-07 04:35:00,2008-02-07 09:00:00,Inside,910.7,904.6,907.6500000000001,904.1,902.3,903.2,910.5,906.3,908.4,DXP,RC,UXP,UXP,GC
8,2008-02-07,Thursday,920.8,903.0,2008-02-08 03:50:00,2008-02-07 10:00:00,03:50:00,10:00:00,Upside,ODR,RDR,ODR-RDR,920.4,913.0,04:55:00,09:10:00,2008-02-08 04:55:00,2008-02-08 09:10:00,15:55:00,09:10:00,2008-02-08 15:55:00,2008-02-08 09:10:00,Upside,912.1,903.7,907.9000000000001,913.2,911.9,912.55,920.4,912.8,916.5999999999999,UXP,UXP,UXP,RX,GC
9,2008-02-08,Friday,931.0,914.9,2008-02-11 06:30:00,2008-02-08 09:30:00,06:30:00,09:30:00,Upside,ODR,RDR,ODR-RDR,931.0,923.2,06:30:00,09:25:00,2008-02-11 06:30:00,2008-02-11 09:25:00,06:30:00,10:50:00,2008-02-11 06:30:00,2008-02-11 10:50:00,Downside,922.8,916.2,919.5,927.3,926.4,926.8499999999999,929.2,925.6,927.4000000000001,UXP,UXP,RX,U,GC
