,session_date,day_of_week,full_day_high,full_day_low,full_day_high_time,full_day_low_time,full_day_high_hm,full_day_low_hm,full_day_type,full_day_high_bucket,full_day_low_bucket,cycle_pair,partial_day_high,partial_day_low,partial_day_high_hm,partial_day_low_hm,partial_day_high_time,partial_day_low_time,4_1555_high_hm,4_1555_low_hm,4_1555_high_time,4_1555_low_time,partial_day_type,rdr_idr_high,rdr_idr_low,rdr_idr_midline,adr_idr_high,adr_idr_low,adr_idr_midline,odr_idr_high,odr_idr_low,odr_idr_midline,rdr_to_adr_model,rdr_to_odr_model,adr_to_odr_model,podr_to_rdr_model,Instrument
0,2008-01-02,Wednesday,2112.75,2056.5,2008-01-02 09:40:00,2008-01-02 13:10:00,09:40:00,13:10:00,,RDR,RDR,RDR-RDR,2074.75,2062.0,08:40:00,08:05:00,2008-01-03 08:40:00,2008-01-03 08:05:00,12:30:00,15:30:00,2008-01-03 12:30:00,2008-01-03 15:30:00,Outside,2111.0,2098.25,2104.625,2075.25,2074.25,2074.75,2076.5,2072.0,2074.25,DXP,DXP,RX,none,NQ
1,2008-01-03,Thursday,2082.75,2036.25,2008-01-03 23:40:00,2008-01-04 09:05:00,23:40:00,09:05:00,Downside,ADR,ODR Transition,ADR-ODR Transition,2080.5,2036.25,04:35:00,09:05:00,2008-01-04 04:35:00,2008-01-04 09:05:00,04:35:00,15:50:00,2008-01-04 04:35:00,2008-01-04 15:50:00,Downside,2076.0,2059.75,2067.875,2074.25,2071.5,2072.875,2080.0,2076.25,2078.125,RC,UXP,UXP,D,NQ
2,2008-01-04,Friday,2043.5,1976.75,2008-01-04 09:30:00,2008-01-04 16:00:00,09:30:00,16:00:00,Downside,RDR,After RDR,After RDR-RDR,1995.5,1982.75,07:05:00,09:25:00,2008-01-07 07:05:00,2008-01-07 09:25:00,07:05:00,10:35:00,2008-01-07 07:05:00,2008-01-07 10:35:00,Downside,2037.0,2021.75,2029.375,1989.25,1983.5,1986.375,1993.5,1984.75,1989.125,DXP,DXP,U,DXP,NQ
3,2008-01-07,Monday,1992.25,1943.75,2008-01-07 12:50:00,2008-01-07 10:35:00,12:50:00,10:35:00,Downside,RDR,RDR,RDR-RDR,1992.25,1972.5,07:50:00,09:00:00,2008-01-08 07:50:00,2008-01-08 09:00:00,10:25:00,15:55:00,2008-01-08 10:25:00,2008-01-08 15:55:00,Outside,1988.0,1957.25,1972.625,1975.25,1973.25,1974.25,1985.25,1980.25,1982.75,RC,RC,UXP,DX,NQ
4,2008-01-08,Tuesday,1998.5,1919.5,2008-01-08 10:25:00,2008-01-09 09:05:00,10:25:00,09:05:00,Outside,RDR,ODR Transition,ODR Transition-RDR,1939.0,1919.5,06:20:00,09:05:00,2008-01-09 06:20:00,2008-01-09 09:05:00,15:55:00,14:15:00,2008-01-09 15:55:00,2008-01-09 14:15:00,Outside,1996.5,1978.25,1987.375,1931.0,1930.0,1930.5,1940.5,1930.25,1935.375,DXP,DXP,U,RX,NQ
5,2008-01-09,Wednesday,1964.75,1903.0,2008-01-09 15:55:00,2008-01-09 14:15:00,15:55:00,14:15:00,Downside,RDR,RDR,RDR-RDR,1957.5,1939.25,07:50:00,08:45:00,2008-01-10 07:50:00,2008-01-10 08:45:00,15:30:00,09:30:00,2008-01-10 15:30:00,2008-01-10 09:30:00,Outside,1947.25,1924.75,1936.0,1961.0,1958.0,1959.5,1956.5,1953.5,1955.0,UXP,UXP,DXP,RX,NQ
6,2008-01-10,Thursday,1982.0,1937.0,2008-01-10 15:30:00,2008-01-10 09:30:00,15:30:00,09:30:00,Upside,RDR,RDR,RDR-RDR,1956.5,1942.25,04:50:00,06:55:00,2008-01-11 04:50:00,2008-01-11 06:55:00,04:50:00,15:10:00,2008-01-11 04:50:00,2008-01-11 15:10:00,Downside,1954.75,1940.5,1947.625,1958.5,1957.25,1957.875,1954.0,1950.25,1952.125,UXP,RC,DXP,DX,NQ
7,2008-01-11,Friday,1956.75,1906.0,2008-01-14 08:15:00,2008-01-14 02:00:00,08:15:00,02:00:00,Downside,ODR,ADR Transition,ADR Transition-ODR,1956.75,1925.25,08:15:00,06:50:00,2008-01-14 08:15:00,2008-01-14 06:50:00,15:40:00,06:50:00,2008-01-14 15:40:00,2008-01-14 06:50:00,Upside,1954.25,1941.0,1947.625,1935.0,1931.0,1933.0,1931.75,1929.25,1930.5,DXP,DXP,DX,RX,NQ
8,2008-01-14,Monday,1964.75,1932.75,2008-01-14 15:40:00,2008-01-15 08:55:00,15:40:00,08:55:00,Upside,RDR,ODR Transition,ODR Transition-RDR,1951.75,1932.75,06:30:00,08:55:00,2008-01-15 06:30:00,2008-01-15 08:55:00,06:30:00,15:00:00,2008-01-15 06:30:00,2008-01-15 15:00:00,Downside,1951.0,1939.25,1945.125,1957.5,1955.25,1956.375,1952.75,1949.25,1951.0,UXP,UXP,DXP,UXP,NQ
9,2008-01-15,Tuesday,1944.25,1865.25,2008-01-15 09:35:00,2008-01-15 17:25:00,09:35:00,17:25:00,Downside,RDR,After RDR,After RDR-RDR,1895.5,1874.0,09:10:00,06:50:00,2008-01-16 09:10:00,2008-01-16 06:50:00,14:40:00,10:50:00,2008-01-16 14:40:00,2008-01-16 10:50:00,Outside,1943.75,1928.5,1936.125,1877.0,1872.75,1874.875,1885.5,1876.5,1881.0,DXP,DXP,UXP,DXP,NQ
