,session_date,day_of_week,full_day_high,full_day_low,full_day_high_time,full_day_low_time,full_day_high_hm,full_day_low_hm,full_day_type,full_day_high_bucket,full_day_low_bucket,cycle_pair,partial_day_high,partial_day_low,partial_day_high_hm,partial_day_low_hm,partial_day_high_time,partial_day_low_time,4_1555_high_hm,4_1555_low_hm,4_1555_high_time,4_1555_low_time,partial_day_type,rdr_idr_high,rdr_idr_low,rdr_idr_midline,adr_idr_high,adr_idr_low,adr_idr_midline,odr_idr_high,odr_idr_low,odr_idr_midline,rdr_to_adr_model,rdr_to_odr_model,adr_to_odr_model,podr_to_rdr_model,Instrument
0,2008-01-02,Wednesday,13342.0,13050.0,2008-01-02 09:40:00,2008-01-02 15:20:00,09:40:00,15:20:00,,RDR,RDR,RDR-RDR,13173.0,13096.0,08:30:00,06:00:00,2008-01-03 08:30:00,2008-01-03 06:00:00,12:30:00,15:25:00,2008-01-03 12:30:00,2008-01-03 15:25:00,Outside,13339.0,13210.0,13274.5,13158.0,13153.0,13155.5,13162.0,13135.0,13148.5,DXP,DXP,RX,none,YM
1,2008-01-03,Thursday,13194.0,13010.0,2008-01-03 12:30:00,2008-01-04 09:05:00,12:30:00,09:05:00,Downside,RDR,ODR Transition,ODR Transition-RDR,13181.0,13010.0,06:45:00,09:05:00,2008-01-04 06:45:00,2008-01-04 09:05:00,06:45:00,15:50:00,2008-01-04 06:45:00,2008-01-04 15:50:00,Downside,13170.0,13111.0,13140.5,13133.0,13120.0,13126.5,13167.0,13157.0,13162.0,RC,RC,UXP,RX,YM
2,2008-01-04,Friday,13038.0,12842.0,2008-01-04 09:30:00,2008-01-04 16:00:00,09:30:00,16:00:00,Downside,RDR,After RDR,After RDR-RDR,12956.0,12883.0,07:05:00,04:00:00,2008-01-07 07:05:00,2008-01-07 04:00:00,07:05:00,10:30:00,2008-01-07 07:05:00,2008-01-07 10:30:00,Downside,13017.0,12945.0,12981.0,12915.0,12886.0,12900.5,12930.0,12879.0,12904.5,DXP,DXP,RX,DXP,YM
3,2008-01-07,Monday,12953.0,12782.0,2008-01-08 07:55:00,2008-01-07 10:30:00,07:55:00,10:30:00,Downside,ODR,RDR,ODR-RDR,12953.0,12878.0,07:55:00,08:20:00,2008-01-08 07:55:00,2008-01-08 08:20:00,10:25:00,15:55:00,2008-01-08 10:25:00,2008-01-08 15:55:00,Outside,12924.0,12805.0,12864.5,12874.0,12870.0,12872.0,12910.0,12892.0,12901.0,RC,RC,UXP,D,YM
4,2008-01-08,Tuesday,12958.0,12615.0,2008-01-08 10:25:00,2008-01-08 16:05:00,10:25:00,16:05:00,Outside,RDR,After RDR,After RDR-RDR,12710.0,12624.0,06:20:00,09:00:00,2008-01-09 06:20:00,2008-01-09 09:00:00,15:55:00,14:15:00,2008-01-09 15:55:00,2008-01-09 14:15:00,Outside,12954.0,12910.0,12932.0,12661.0,12653.0,12657.0,12714.0,12675.0,12694.5,DXP,DXP,UXP,UXP,YM
5,2008-01-09,Wednesday,12794.0,12550.0,2008-01-09 15:55:00,2008-01-09 14:15:00,15:55:00,14:15:00,Downside,RDR,RDR,RDR-RDR,12749.0,12682.0,07:50:00,08:45:00,2008-01-10 07:50:00,2008-01-10 08:45:00,15:10:00,09:40:00,2008-01-10 15:10:00,2008-01-10 09:40:00,Outside,12727.0,12649.0,12688.0,12764.0,12745.0,12754.5,12746.0,12727.0,12736.5,UXP,UXP,DX,RX,YM
6,2008-01-10,Thursday,12984.0,12677.0,2008-01-10 15:10:00,2008-01-10 09:40:00,15:10:00,09:40:00,Upside,RDR,RDR,RDR-RDR,12812.0,12730.0,09:00:00,06:55:00,2008-01-11 09:00:00,2008-01-11 06:55:00,09:00:00,15:20:00,2008-01-11 09:00:00,2008-01-11 15:20:00,Downside,12784.0,12694.0,12739.0,12836.0,12832.0,12834.0,12799.0,12779.0,12789.0,UXP,UXP,DXP,RX,YM
7,2008-01-11,Friday,12805.0,12590.0,2008-01-11 09:30:00,2008-01-11 15:20:00,09:30:00,15:20:00,Downside,RDR,RDR,RDR-RDR,12777.0,12673.0,08:55:00,06:45:00,2008-01-14 08:55:00,2008-01-14 06:45:00,15:00:00,06:45:00,2008-01-14 15:00:00,2008-01-14 06:45:00,Upside,12791.0,12718.0,12754.5,12712.0,12692.0,12702.0,12698.0,12663.0,12680.5,DXP,DXP,DX,D,YM
8,2008-01-14,Monday,12834.0,12673.0,2008-01-14 15:00:00,2008-01-15 08:35:00,15:00:00,08:35:00,Upside,RDR,ODR Transition,ODR Transition-RDR,12782.0,12673.0,06:40:00,08:35:00,2008-01-15 06:40:00,2008-01-15 08:35:00,06:40:00,15:00:00,2008-01-15 06:40:00,2008-01-15 15:00:00,Downside,12766.0,12716.0,12741.0,12792.0,12788.0,12790.0,12760.0,12751.0,12755.5,UXP,RC,DXP,UXP,YM
9,2008-01-15,Tuesday,12728.0,12419.0,2008-01-15 09:35:00,2008-01-16 06:50:00,09:35:00,06:50:00,Downside,RDR,ODR,ODR-RDR,12520.0,12419.0,09:15:00,06:50:00,2008-01-16 09:15:00,2008-01-16 06:50:00,14:45:00,06:50:00,2008-01-16 14:45:00,2008-01-16 06:50:00,Upside,12726.0,12634.0,12680.0,12460.0,12449.0,12454.5,12473.0,12437.0,12455.0,DXP,DXP,RX,DXP,YM
